category,benchmark,tool,source_edge_count,static_edge_count,covered_count,missed_count,coverage,tool_output_present
GeneralJava,SourceCodeSpecific1,FlowDroid,13,14,9,4,0.692308,yes
GeneralJava,SourceCodeSpecific1,GATOR,13,2989,13,0,1.0,yes
GeneralJava,SourceCodeSpecific1,MAMADROID,13,13,9,4,0.692308,yes
GeneralJava,SourceCodeSpecific1,NATIDROID,13,5293,13,0,1.0,yes
GeneralJava,StartProcessWithSecret1,Androguard,8,8,8,0,1.0,yes
GeneralJava,StartProcessWithSecret1,FlowDroid,8,13,7,1,0.875,yes
GeneralJava,StartProcessWithSecret1,GATOR,8,17,8,0,1.0,yes
GeneralJava,StartProcessWithSecret1,MAMADROID,8,12,7,1,0.875,yes
GeneralJava,StartProcessWithSecret1,NATIDROID,8,2307,8,0,1.0,yes
GeneralJava,StaticInitialization1,Androguard,7,2344,7,0,1.0,yes
GeneralJava,StaticInitialization1,FlowDroid,7,15,5,2,0.714286,yes
GeneralJava,StaticInitialization1,GATOR,7,2983,7,0,1.0,yes
GeneralJava,StaticInitialization1,MAMADROID,7,14,5,2,0.714286,yes
GeneralJava,StaticInitialization1,NATIDROID,7,5287,7,0,1.0,yes
GeneralJava,StaticInitialization2,Androguard,8,2344,8,0,1.0,yes
GeneralJava,StaticInitialization2,FlowDroid,8,15,6,2,0.75,yes
GeneralJava,StaticInitialization2,GATOR,8,2983,8,0,1.0,yes
GeneralJava,StaticInitialization2,MAMADROID,8,14,6,2,0.75,yes
GeneralJava,StaticInitialization2,NATIDROID,8,5287,8,0,1.0,yes
GeneralJava,StaticInitialization3,Androguard,7,7,7,0,1.0,yes
GeneralJava,StaticInitialization3,FlowDroid,7,15,6,1,0.857143,yes
GeneralJava,StaticInitialization3,GATOR,7,16,7,0,1.0,yes
GeneralJava,StaticInitialization3,MAMADROID,7,14,6,1,0.857143,yes
GeneralJava,StaticInitialization3,NATIDROID,7,2314,7,0,1.0,yes
GeneralJava,StringFormatter1,Androguard,10,10,10,0,1.0,yes
GeneralJava,StringFormatter1,FlowDroid,10,17,9,1,0.9,yes
GeneralJava,StringFormatter1,GATOR,10,20,10,0,1.0,yes
GeneralJava,StringFormatter1,MAMADROID,10,16,9,1,0.9,yes
GeneralJava,StringFormatter1,NATIDROID,10,2316,10,0,1.0,yes
GeneralJava,StringPatternMatching1,Androguard,7,10,7,0,1.0,yes
GeneralJava,StringPatternMatching1,FlowDroid,7,11,5,2,0.714286,yes
GeneralJava,StringPatternMatching1,GATOR,7,22,7,0,1.0,yes
GeneralJava,StringPatternMatching1,MAMADROID,7,10,5,2,0.714286,yes
GeneralJava,StringPatternMatching1,NATIDROID,7,2317,7,0,1.0,yes
GeneralJava,StringToCharArray1,Androguard,6,12,6,0,1.0,yes
GeneralJava,StringToCharArray1,FlowDroid,6,24,5,1,0.833333,yes
GeneralJava,StringToCharArray1,GATOR,6,25,6,0,1.0,yes
GeneralJava,StringToCharArray1,MAMADROID,6,21,5,1,0.833333,yes
GeneralJava,StringToCharArray1,NATIDROID,6,2320,6,0,1.0,yes
GeneralJava,StringToOutputStream1,Androguard,6,10,6,0,1.0,yes
GeneralJava,StringToOutputStream1,FlowDroid,6,13,4,2,0.666667,yes
GeneralJava,StringToOutputStream1,GATOR,6,20,6,0,1.0,yes
GeneralJava,StringToOutputStream1,MAMADROID,6,12,4,2,0.666667,yes
GeneralJava,StringToOutputStream1,NATIDROID,6,2317,6,0,1.0,yes
GeneralJava,UnreachableCode,Androguard,3,2343,3,0,1.0,yes
GeneralJava,UnreachableCode,FlowDroid,3,8,3,0,1.0,yes
GeneralJava,UnreachableCode,GATOR,3,2982,3,0,1.0,yes
GeneralJava,UnreachableCode,MAMADROID,3,7,3,0,1.0,yes
GeneralJava,UnreachableCode,NATIDROID,3,5281,3,0,1.0,yes
GeneralJava,VirtualDispatch1,Androguard,9,2345,9,0,1.0,yes
GeneralJava,VirtualDispatch1,FlowDroid,9,16,8,1,0.888889,yes
GeneralJava,VirtualDispatch1,GATOR,9,2983,9,0,1.0,yes
GeneralJava,VirtualDispatch1,MAMADROID,9,15,8,1,0.888889,yes
GeneralJava,VirtualDispatch1,NATIDROID,9,5283,9,0,1.0,yes
GeneralJava,VirtualDispatch2,Androguard,10,11,10,0,1.0,yes
GeneralJava,VirtualDispatch2,FlowDroid,10,16,8,2,0.8,yes
GeneralJava,VirtualDispatch2,GATOR,10,20,10,0,1.0,yes
GeneralJava,VirtualDispatch2,MAMADROID,10,15,8,2,0.8,yes
GeneralJava,VirtualDispatch2,NATIDROID,10,2322,10,0,1.0,yes
GeneralJava,VirtualDispatch3,Androguard,65,7748,65,0,1.0,yes
GeneralJava,VirtualDispatch3,FlowDroid,65,30,10,55,0.153846,yes
GeneralJava,VirtualDispatch3,GATOR,65,9120,59,6,0.907692,yes
GeneralJava,VirtualDispatch3,MAMADROID,65,29,10,55,0.153846,yes
GeneralJava,VirtualDispatch3,NATIDROID,65,11612,59,6,0.907692,yes
GeneralJava,VirtualDispatch4,Androguard,317,7748,317,0,1.0,yes
GeneralJava,VirtualDispatch4,FlowDroid,317,28,12,305,0.037855,yes
GeneralJava,VirtualDispatch4,GATOR,317,9120,306,11,0.9653,yes
GeneralJava,VirtualDispatch4,MAMADROID,317,27,12,305,0.037855,yes
GeneralJava,VirtualDispatch4,NATIDROID,317,11612,306,11,0.9653,yes
ImplicitFlows,ImplicitFlow1,Androguard,7,2355,7,0,1.0,yes
ImplicitFlows,ImplicitFlow1,FlowDroid,7,29,6,1,0.857143,yes
ImplicitFlows,ImplicitFlow1,GATOR,7,2996,7,0,1.0,yes
ImplicitFlows,ImplicitFlow1,MAMADROID,7,25,6,1,0.857143,yes
ImplicitFlows,ImplicitFlow1,NATIDROID,7,5296,7,0,1.0,yes
ImplicitFlows,ImplicitFlow2,Androguard,3,2344,3,0,1.0,yes
