tool,proxy,bucket,signature,all_tags
NATIDROID,malware_evasion,ipc_and_dispatch,<android.content.Context: java.lang.String getBasePackageName()>,ipc
GATOR,privacy,device_and_subscriber_ids,<android.telephony.CellSignalStrength: int getDbm()>,telephony
GATOR,privacy,device_and_subscriber_ids,<android.telephony.SubscriptionInfo: int getSimSlotIndex()>,telephony
GATOR,privacy,device_and_subscriber_ids,<android.telephony.euicc.EuiccManager: boolean isEnabled()>,telephony
GATOR,privacy,device_and_subscriber_ids,<android.telephony.TelephonyDisplayInfo: int getNetworkType()>,telephony
GATOR,privacy,device_and_subscriber_ids,<android.telephony.CellIdentityLte: java.lang.String getMccString()>,telephony
GATOR,privacy,device_and_subscriber_ids,<android.telephony.CellIdentityLte: java.lang.String getMncString()>,telephony
GATOR,privacy,device_and_subscriber_ids,<android.telephony.SubscriptionInfo: java.lang.String getMccString()>,telephony
GATOR,privacy,device_and_subscriber_ids,<android.telephony.SubscriptionInfo: java.lang.String getMncString()>,telephony
GATOR,privacy,device_and_subscriber_ids,<android.telephony.SubscriptionManager: boolean isNetworkRoaming(int)>,telephony
GATOR,privacy,device_and_subscriber_ids,<android.telephony.SignalStrength: java.util.List getCellSignalStrengths()>,telephony
GATOR,privacy,device_and_subscriber_ids,<android.telephony.SubscriptionInfo: java.lang.CharSequence getDisplayName()>,telephony
GATOR,privacy,device_and_subscriber_ids,<android.telephony.SubscriptionManager: int getActiveSubscriptionInfoCount()>,telephony
GATOR,privacy,device_and_subscriber_ids,<android.telephony.SubscriptionManager: java.lang.String getPhoneNumber(int)>,telephony
GATOR,privacy,device_and_subscriber_ids,<android.telephony.CellIdentity: java.lang.CharSequence getOperatorAlphaShort()>,telephony
GATOR,privacy,device_and_subscriber_ids,<android.telephony.SubscriptionManager: int getActiveSubscriptionInfoCountMax()>,telephony
GATOR,privacy,location_and_sensors,<android.location.Location: boolean isMock()>,location
GATOR,privacy,location_and_sensors,<android.location.Location: boolean hasMslAltitude()>,location
GATOR,privacy,location_and_sensors,<android.hardware.camera2.CameraManager: java.util.Set getConcurrentCameraIds()>,camera
GATOR,privacy,location_and_sensors,<android.location.LocationListener: void onLocationChanged(android.location.Location)>,callback|location
